id,name,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport
160,St-Louis La-Chaussee,47.6094781,7.5312095,159,FR,Europe/Paris,FALSE,FALSE,FALSE
161,St-Louis,47.5906094,7.5559882,159,FR,Europe/Paris,FALSE,TRUE,FALSE
162,Thann,NA,NA,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
163,Thann,47.8088208,7.1069795,162,FR,Europe/Paris,FALSE,TRUE,FALSE
164,Thann-St-Jacques,47.8133155,7.0938473,162,FR,Europe/Paris,FALSE,FALSE,FALSE
165,Givors Canal,45.5957662,4.7725754,3263,FR,Europe/Paris,FALSE,FALSE,FALSE
166,Aspach-le-Haut,47.65,7.233333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
167,Aspach-le-Haut,47.769396,7.142379,166,FR,Europe/Paris,FALSE,TRUE,FALSE
168,Aspach-le-Bas,47.759832,7.152375,166,FR,Europe/Paris,FALSE,FALSE,FALSE
171,Avignon Centre,43.9419,4.805281,489,FR,Europe/Paris,FALSE,TRUE,FALSE
172,Le Mans,47.995034,0.19014,4661,FR,Europe/Paris,FALSE,FALSE,FALSE
173,Joue-les-Tours Berthelot,47.35,0.666667,4580,FR,Europe/Paris,FALSE,FALSE,FALSE
174,Eu,50.05,1.416667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
175,Eu-la-Mouillette,50.04890671485088,1.4253687858581543,174,FR,Europe/Paris,FALSE,FALSE,FALSE
176,Eu,50.0541988,1.416837,174,FR,Europe/Paris,FALSE,TRUE,FALSE
177,Alleyras,44.919217,3.673517,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
178,Le Havre,49.492996,0.125677,4630,FR,Europe/Paris,TRUE,FALSE,FALSE
179,Harfleur,49.506596,0.198269,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
180,Harfleur-Halte,49.5059181,0.192085,179,FR,Europe/Paris,FALSE,FALSE,FALSE
181,Harfleur,49.5136336,0.1989828,179,FR,Europe/Paris,FALSE,TRUE,FALSE
182,Montivilliers,49.55,0.2,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
184,Montivilliers,49.5429758,0.189426,182,FR,Europe/Paris,FALSE,TRUE,FALSE
186,Dieppe,49.921788,1.081133,1926,FR,Europe/Paris,FALSE,TRUE,FALSE
187,Fontainebleau-Avon,48.416371,2.72634,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
